     velsurf       thk_regu           glen
     51.2925        11.8945        -0.1624
     51.2646        11.8981        -0.1624
     51.2379        11.9008        -0.1624
     51.2111        11.9051        -0.1624
     51.1871        11.9059        -0.1624
     51.1593        11.9123        -0.1624
     51.1344        11.9153        -0.1624
     51.1085        11.9197        -0.1624
     51.0827        11.9247        -0.1624
     51.0586        11.9287        -0.1624
     51.0329        11.9345        -0.1624
     51.0093        11.9374        -0.1624
     50.9847        11.9433        -0.1793
     39.0667        11.9450        -0.1793
     38.7906        11.9645        -0.1793
     38.5333        11.9971        -0.1793
     38.2987        12.0315        -0.1793
     38.0777        12.0737        -0.1793
     37.8840        12.1114        -0.1793
     37.7033        12.1516        -0.1793
     37.5394        12.1901        -0.1793
     37.3840        12.2311        -0.1793
     37.2441        12.2683        -0.1793
     37.1113        12.3044        -0.1793
     36.9968        12.3329        -0.1793
     36.8828        12.3677        -0.1793
     36.7951        12.3913        -0.1793
     36.7080        12.4243        -0.1793
     36.6404        12.4444        -0.1793
     36.5717        12.4714        -0.1793
     36.5131        12.4916        -0.1793
     36.4587        12.5107        -0.1793
     36.4043        12.5327        -0.1793
     36.3573        12.5489        -0.1793
     36.3102        12.5668        -0.1793
     36.2635        12.5862        -0.1793
     36.2255        12.5983        -0.1793
     36.1809        12.6168        -0.1793
     36.1455        12.6283        -0.1793
     36.1045        12.6467        -0.1793
     36.0707        12.6600        -0.1793
     36.0289        12.6800        -0.1793
     36.0008        12.6913        -0.1793
     35.9641        12.7090        -0.1793
     35.9377        12.7187        -0.1793
     35.9002        12.7380        -0.1793
     35.8761        12.7479        -0.1793
     35.8368        12.7698        -0.1793
     35.8157        12.7779        -0.1793
     35.7800        12.7962        -0.1793
     35.7609        12.8064        -0.1793
     35.7256        12.8242        -0.1793
     35.7085        12.8317        -0.1793
     35.6742        12.8522        -0.1793
     35.6569        12.8594        -0.1793
     35.6282        12.8773        -0.1793
     35.6083        12.8865        -0.1793
     35.5811        12.9035        -0.1793
     35.5624        12.9128        -0.1793
     35.5344        12.9299        -0.1793
     35.5159        12.9404        -0.1793
     35.4935        12.9540        -0.1793
     35.4743        12.9650        -0.1793
     35.4557        12.9747        -0.1793
     35.4412        12.9843        -0.1793
     35.4241        12.9931        -0.1793
     35.4126        12.9988        -0.1793
     35.3938        13.0110        -0.1793
     35.3852        13.0127        -0.1793
     35.3650        13.0262        -0.1793
     35.3595        13.0274        -0.1793
     35.3374        13.0421        -0.1793
     35.3343        13.0408        -0.1793
     35.3132        13.0548        -0.1793
     35.3086        13.0554        -0.1793
     35.2898        13.0709        -0.1793
     35.2810        13.0731        -0.1793
     35.2668        13.0858        -0.1793
     35.2633        13.0849        -0.1793
     35.2451        13.0981        -0.1793
     35.2444        13.0945        -0.1793
     35.2274        13.1097        -0.1793
     35.2239        13.1053        -0.1793
     35.2060        13.1208        -0.1793
     35.2046        13.1170        -0.1793
     35.1881        13.1292        -0.1793
     35.1892        13.1237        -0.1793
     35.1732        13.1355        -0.1793
     35.1723        13.1322        -0.1793
     35.1586        13.1402        -0.1793
     35.1575        13.1379        -0.1793
     35.1506        13.1389        -0.1793
     35.1463        13.1386        -0.1793
     35.1396        13.1408        -0.1793
     35.1386        13.1373        -0.1793
     35.1275        13.1423        -0.1793
     35.1284        13.1362        -0.1793
     35.1208        13.1390        -0.1793
     35.1140        13.1396        -0.1793
     35.1073        13.1408        -0.1793
     35.1049        13.1398        -0.1793
     35.0977        13.1428        -0.1793
     35.0919        13.1420        -0.1793
     35.0880        13.1430        -0.1793
     35.0809        13.1427        -0.1793
     35.0736        13.1442        -0.1793
     35.0687        13.1440        -0.1793
     35.0601        13.1465        -0.1793
     35.0574        13.1454        -0.1793
     35.0511        13.1474        -0.1793
     35.0481        13.1443        -0.1793
     35.0388        13.1492        -0.1793
     35.0376        13.1454        -0.1916
     49.1043        13.1483        -0.1916
     48.6083        13.1616        -0.1916
     48.1368        13.1938        -0.1916
     47.6937        13.2371        -0.1916
     47.2779        13.2894        -0.1916
     46.9047        13.3415        -0.1916
     46.5551        13.4011        -0.1916
     46.2390        13.4614        -0.1916
     45.9472        13.5214        -0.1916
     45.6786        13.5816        -0.1916
     45.4280        13.6462        -0.1916
     45.2085        13.7101        -0.1916
     45.0178        13.7757        -0.1916
     44.8432        13.8371        -0.1916
