dis_along_flowline,widths_m,area_m2,consensus_ice_thickness,millan_ice_thickness,millan_v,hugonnet_dhdt
100.0,429.125100324101,85825.0200648202,33.10966082387319,76.72389827615109,12.330047883226454,0.36092039999290315
300.0,1106.2472004280994,221249.4400856199,18.17015577064117,107.74831846706586,19.112716671472,-0.3516381194067029
500.0,991.1155371841352,198223.10743682703,30.596489160445756,139.13380307838366,18.34277310603704,-0.4000246629654683
700.0,2347.211919627561,469442.38392551226,46.12211976549895,157.66969585539962,15.95919487262571,-0.2985113101510491
900.0,2009.3883817698136,401877.67635396274,58.7374900995982,237.62775788876334,45.045959641628635,-0.11327650705729815
1100.0,3085.502821267194,617100.5642534388,51.27775566405906,214.35457537353307,48.55488395479857,-0.047424805425861485
1300.0,3446.4460104205014,689289.2020841002,59.932928550339675,281.3191282862476,88.18290387082604,-0.13614528645420576
1500.0,4078.9611177481834,815792.2235496367,53.93160844986381,324.13661173710614,122.389979150578,-0.12332558590091795
1700.0,5146.4757903901245,1029295.1580780249,53.822567078023816,290.24907516635875,91.65823660931994,-0.3000994311543293
1900.0,3535.2620930982303,707052.418619646,84.51873588384085,340.7086273901246,56.872093749049384,-0.40601425496556887
2100.0,3138.8438602233937,627768.7720446787,101.37879057320622,343.79634721194714,57.795825545068205,-0.35317136127114424
2300.0,2748.9921640448797,549798.4328089759,108.01246862771141,351.2162289329617,59.85302283648632,-0.36664311455768717
2500.0,3315.0569890209954,663011.397804199,93.40461933625852,329.10904635382525,80.53192310492304,-0.34539826372171295
2700.0,2857.107788779431,571421.5577558861,85.291678683549,303.9711796618903,83.70308888019815,-0.4741135457448003
2900.0,1924.1776345499477,384835.52690998954,97.03072860284747,368.4421604113548,102.31389385137084,-0.6653049549297363
3100.0,3221.6204230489807,644324.0846097962,66.52253598778888,297.20199985974585,93.25918242738847,-0.6324960154189205
3300.0,4211.219364238288,842243.8728476577,70.62929623735549,333.02386767187477,84.40144649765229,-0.6311855476262139
3500.0,3472.5101856201677,694502.0371240336,85.26246052467653,350.64572726150305,70.20152602923109,-0.65906334321413
3700.0,5295.381173848392,1059076.2347696784,91.46093982238156,335.9560467945102,50.18070566342944,-0.903214335677711
3900.0,4480.572087661006,896114.4175322012,116.83724180814875,380.8578807479484,43.83074713007613,-1.1724739860577567
4100.0,3866.409746051062,773281.9492102124,134.54753917759808,440.1646466193118,58.860103420132546,-1.2209541111720323
4300.0,3774.7222068798833,754944.4413759767,139.90599417378075,454.2959227477042,51.686089013695536,-1.2150125593740744
4500.0,3883.96511514852,776793.023029704,141.76190646386772,458.8664345098219,45.41642001493489,-1.1728349835227798
4700.0,4059.437824198524,811887.5648397048,141.5111963223863,460.81353294429397,43.673137819988504,-1.1127691165638935
4900.0,4161.503195645249,832300.6391290498,138.10424180335534,459.67969891951014,45.38238630492546,-1.0627809640080836
5100.0,4717.986104169744,943597.2208339488,138.20975617439817,466.78648573623474,37.49346075708038,-1.2302736352248964
5300.0,4939.251520958329,987850.3041916657,142.94301791129053,472.0567400356548,26.155117935195147,-1.149902086113102
5500.0,4015.0048829797124,803000.9765959425,157.96723171384735,523.0560303430024,23.463635439922523,-1.1266967637002014
5700.0,3260.440891420543,652088.1782841085,167.70777169159967,547.5514076414619,21.384918237797752,-1.0762357489798933
5900.0,2826.841813798,565368.3627596,169.57134085565082,532.9490995463109,19.38194425213035,-0.9839143679005135
6100.0,2530.125851382593,506025.17027651856,169.96638277229326,515.1656027171551,17.66108752603943,-0.8982426429058812
6300.0,2683.872604111078,536774.5208222156,165.5287119753955,486.91326966713723,16.868638270405835,-0.8344539831101654
6500.0,2772.8424465643934,554568.4893128787,160.44687583149317,461.6346592958099,16.093172308837588,-0.7835899384740422
6700.0,2438.0115124242166,487602.3024848433,151.15060937352544,455.8115304417264,15.428818982673429,-0.8172847577685912
6900.0,2122.013136785898,424402.6273571796,145.34162012851974,460.7104667972542,14.97631688952708,-0.8403717234031398
7100.0,1905.0494531193992,381009.89062387985,157.8711601158513,521.9934799754176,15.637875937021688,-0.8076752159850712
